SA2 code,5 year growth rate
316061443,0.73
316061444,0.70
316071545,5.09
316071546,2.41
316071547,2.26
316071548,1.54
316081549,1.39
317011445,3.32
317011446,1.86
317011447,-0.26
317011448,0.93
317011449,2.40
317011450,2.68
317011451,1.92
317011452,0.83
317011453,-0.26
317011454,-0.18
317011455,-0.08
317011456,0.28
317011457,-0.95
317011458,2.82
317011459,0.50
318011460,-0.81
318011461,-0.71
318011462,-1.02
318011463,-0.62
318011464,-1.75
318011465,-1.22
318011466,0.84
318021467,-0.68
318021468,0.49
318021469,-1.68
318021470,4.33
318021471,0.27
318021472,-0.92
318021473,5.69
318021474,1.35
318021475,-1.57
318021476,-1.08
318021477,-0.67
318021478,-0.30
318021479,-1.83
318021480,0.29
318021481,-1.56
318021482,-0.37
318021483,0.21
318021484,2.00
318021485,-2.06
318021486,0.60
318021487,3.62
318021488,0.01
318021489,0.48
318021490,0.37
318021491,0.06
319011492,0.75
319011493,0.97
319011494,2.62
319011495,-0.44
319011496,0.67
319011497,-0.33
319011498,1.37
319011499,0.33
319011500,-1.24
319011501,-0.82
319011502,-0.15
319021503,0.49
319021504,-0.33
319021505,-0.36
319021506,0.04
319021507,0.22
319021508,-0.11
319021509,0.15
319021510,2.71
319031511,1.21
319031512,1.09
319031513,0.31
319031514,1.94
319031515,0.15
319041516,1.82
319041517,1.59
319041518,1.95
319041519,0.19
319041520,0.52
319041521,1.94
319051522,1.13
319051523,-0.54
319051524,-0.21
319051525,1.46
319051526,1.67
399999499,
397979799,
401011001,3.17
401011002,0.35
401021003,0.10
401021004,0.12
401021005,0.78
401021006,-0.08
401021007,3.01
401021008,1.39
401021009,2.09
401021010,0.13
401031011,0.38
401031012,1.08
401031013,0.45
401041014,-0.27
401041015,0.50
401041016,0.72
401051017,0.51
401051018,0.25
401051019,-0.03
401061020,0.27
401061021,0.29
401061022,1.43
401071023,0.24
401071024,0.37
402011025,0.81
402011026,2.31
402011027,1.11
402021028,1.59
402021029,1.29
402021030,0.52
402021031,1.07
402021032,7.54
402021033,-0.02
402021034,-0.04
402021035,2.20
402031036,1.06
402031037,2.90
402031038,1.43
402041039,-100.00
402041040,-0.13
402041041,-0.27
402041042,4.21
402041043,2.12
402041044,0.53
402041046,1.38
402041047,0.45
402041048,1.40
402041171,2.75
402041172,0.35
402051049,1.05
402051050,-0.25
402051051,0.21
402051052,0.50
402051053,-0.18
402051054,0.16
402051055,0.25
403011056,0.50
403011057,0.28
403021058,1.04
403021059,0.04
403021060,0.24
403021061,1.02
403021062,1.38
403021063,0.75
403021064,2.18
403031065,0.03
403031066,0.29
403031067,1.20
403031068,0.25
403031069,0.24
403031070,0.78
403041071,-0.47
403041072,1.31
403041073,1.11
403041074,0.41
403041075,0.33
403041076,0.06
403041077,-0.07
403041078,-0.84
403041079,-0.08
403041080,-0.28
403041081,
403041082,1.39
403041083,0.96
403041084,-0.02
403041085,0.66
403041086,0.32
403041087,2.90
403041088,0.77
403041089,0.36
404011090,1.74
404011091,0.92
404011092,1.09
404011093,0.93
404011094,0.58
404011095,0.80
404011096,0.37
404011097,2.02
404021098,
404021099,-0.18
404021100,0.23
404021101,-0.09
404021102,0.21
404021103,-15.59
404031104,
404031105,0.62
404031106,0.37
404031107,0.87
404031108,0.48
404031109,1.26
405011110,0.94
405011111,1.68
405011112,1.44
405011113,0.63
405011114,2.06
405011115,0.66
405021116,0.67
405021117,0.52
405021118,-0.31
405021119,0.22
405031120,-0.01
405031121,-0.22
405031122,-0.32
405031123,0.38
405041124,0.93
405041125,2.21
405041126,1.69
405041127,0.20
405041128,-0.02
406011129,-0.82
406011130,0.42
406011131,0.01
406011132,-0.13
406011133,0.55
406011134,0.19
406011135,-4.17
406011136,-0.75
406011137,
406021138,-0.79
406021139,0.37
406021140,-0.57
406021141,-4.42
